5,3,828.29,454.06,48.33,146.74,1,-1,-1,-1
6,3,825.32,447.02,50.76,154.12,1,-1,-1,-1
7,3,824.38,452.34,51.56,156.56,1,-1,-1,-1
8,3,824.10,454.30,51.83,157.39,1,-1,-1,-1
8,5,716.92,503.58,20.48,63.31,1,-1,-1,-1
9,3,817.98,446.20,54.50,165.51,1,-1,-1,-1
9,5,715.50,499.55,22.76,70.35,1,-1,-1,-1
10,3,821.66,444.70,52.95,160.80,1,-1,-1,-1
10,5,713.74,500.64,22.40,69.23,1,-1,-1,-1
11,3,820.74,443.78,53.34,161.99,1,-1,-1,-1
11,5,713.10,501.20,22.21,68.64,1,-1,-1,-1
12,5,712.92,501.44,22.12,68.38,1,-1,-1,-1
12,9,1394.40,539.36,51.78,157.34,1,-1,-1,-1
13,5,712.88,501.55,22.08,68.25,1,-1,-1,-1
13,9,1405.91,549.15,49.19,149.47,1,-1,-1,-1
14,5,712.90,501.61,22.06,68.18,1,-1,-1,-1
14,9,1409.66,552.44,48.32,146.83,1,-1,-1,-1
15,5,712.93,501.65,22.04,68.14,1,-1,-1,-1
15,9,1415.56,553.25,45.72,138.94,1,-1,-1,-1
16,5,712.50,501.37,22.15,68.48,1,-1,-1,-1
16,9,1423.93,559.95,44.88,136.40,1,-1,-1,-1
17,5,709.35,505.27,22.04,68.12,1,-1,-1,-1
17,9,1426.55,555.63,44.64,135.69,1,-1,-1,-1
18,5,708.60,503.00,22.02,68.07,1,-1,-1,-1
18,9,1433.61,560.35,44.60,135.58,1,-1,-1,-1
19,5,706.12,503.18,23.08,71.32,1,-1,-1,-1
19,9,1438.96,555.80,46.84,142.41,1,-1,-1,-1
19,11,353.07,521.00,38.85,119.00,1,-1,-1,-1
20,5,707.40,505.26,22.43,69.32,1,-1,-1,-1
20,9,1439.18,552.38,49.97,151.92,1,-1,-1,-1
20,11,350.14,531.69,35.58,108.96,1,-1,-1,-1
21,5,706.69,505.42,22.53,69.61,1,-1,-1,-1
21,9,1446.02,557.91,51.16,155.52,1,-1,-1,-1
21,11,346.07,524.02,37.97,116.28,1,-1,-1,-1
22,9,1448.50,560.03,51.62,156.92,1,-1,-1,-1
22,11,342.86,532.66,35.28,108.04,1,-1,-1,-1
23,5,705.24,503.71,23.44,72.44,1,-1,-1,-1
23,9,1450.59,557.48,54.23,164.85,1,-1,-1,-1
23,11,338.13,530.26,37.79,115.68,1,-1,-1,-1
24,5,704.53,503.69,23.60,72.93,1,-1,-1,-1
24,9,1456.73,559.76,52.82,160.53,1,-1,-1,-1
24,11,336.54,529.45,38.63,118.25,1,-1,-1,-1
25,9,1460.78,564.69,54.68,166.19,1,-1,-1,-1
25,11,330.75,529.14,38.95,119.19,1,-1,-1,-1
26,9,1467.19,561.41,57.96,176.11,1,-1,-1,-1
26,11,328.64,529.02,39.06,119.49,1,-1,-1,-1
27,9,1471.83,565.15,56.66,172.17,1,-1,-1,-1
27,11,320.87,525.70,40.95,125.24,1,-1,-1,-1
28,9,1480.80,573.95,56.11,170.47,1,-1,-1,-1
28,11,319.79,532.84,39.83,121.80,1,-1,-1,-1
29,9,1484.06,577.24,55.89,169.78,1,-1,-1,-1
29,11,319.55,530.42,39.36,120.34,1,-1,-1,-1
30,9,1491.28,581.72,58.40,177.40,1,-1,-1,-1
30,11,312.11,531.87,41.03,125.43,1,-1,-1,-1
31,9,1495.11,580.14,56.78,172.46,1,-1,-1,-1
31,11,309.40,532.41,41.66,127.30,1,-1,-1,-1
32,9,1503.76,586.79,56.10,170.40,1,-1,-1,-1
32,11,305.42,540.63,40.06,122.41,1,-1,-1,-1
33,9,1506.87,589.24,55.84,169.60,1,-1,-1,-1
33,11,304.03,549.12,39.42,120.43,1,-1,-1,-1
34,9,1515.07,586.00,58.36,177.22,1,-1,-1,-1
34,11,303.61,546.98,39.17,119.67,1,-1,-1,-1
35,9,1518.06,584.76,59.29,180.05,1,-1,-1,-1
35,11,298.30,551.38,39.08,119.37,1,-1,-1,-1
36,5,687.42,512.71,25.32,78.19,1,-1,-1,-1
36,9,1526.83,592.01,59.65,181.11,1,-1,-1,-1
36,11,293.47,550.86,40.90,124.89,1,-1,-1,-1
37,5,685.75,516.55,24.19,74.69,1,-1,-1,-1
37,9,1530.05,586.94,59.77,181.48,1,-1,-1,-1
37,11,289.44,557.88,39.76,121.40,1,-1,-1,-1
38,5,684.53,517.28,24.24,74.85,1,-1,-1,-1
38,9,1534.82,586.72,62.60,190.02,1,-1,-1,-1
